Date,Open,High,Low,Close,Volume
02/19/2025,"971.00","989.70","966.88","986.34","760,305"
02/18/2025,"969.14","977.87","959.07","977.86","1,048,863"
02/14/2025,"975.00","978.65","968.38","973.92","965,358"
02/13/2025,"979.04","982.00","970.27","980.30","480,459"
02/12/2025,"975.04","980.89","965.88","973.71","563,118"
02/11/2025,"980.00","989.46","973.60","988.20","884,905"
02/10/2025,"995.00","996.34","976.79","985.55","683,840"
02/07/2025,"1,008.76","1,015.91","991.15","992.04","732,027"
02/06/2025,"1,020.35","1,023.80","1,005.00","1,006.62","688,927"
02/05/2025,"1,020.00","1,027.55","1,005.91","1,014.50","710,406"
02/04/2025,"1,011.54","1,019.50","1,004.00","1,015.66","931,248"
02/03/2025,"1,054.48","1,056.54","1,006.63","1,013.75","1,502,248"
01/31/2025,"1,074.09","1,084.22","1,068.76","1,075.50","958,072"
01/30/2025,"1,069.20","1,078.25","1,059.33","1,071.52","532,128"
01/29/2025,"1,047.11","1,066.83","1,045.31","1,052.61","808,647"
01/28/2025,"1,029.68","1,055.72","1,027.05","1,051.20","1,083,082"
01/27/2025,"1,010.00","1,030.91","1,004.69","1,029.94","662,932"
01/24/2025,"1,013.14","1,026.00","1,013.14","1,020.45","731,330"
01/23/2025,"1,003.96","1,017.81","1,000.83","1,017.73","645,453"
01/22/2025,"1,012.48","1,013.82","998.25","1,006.34","570,319"
01/21/2025,"1,014.02","1,026.95","1,003.72","1,012.09","671,748"
01/17/2025,"1,000.90","1,012.81","997.01","1,004.96","1,085,763"
01/16/2025,"1,016.54","1,016.54","982.18","995.72","884,195"
01/15/2025,"1,019.77","1,025.45","991.00","1,013.18","1,140,399"
01/14/2025,"964.32","969.60","958.04","963.17","1,058,107"
01/13/2025,"946.25","957.25","943.34","955.01","794,380"
01/10/2025,"979.79","982.05","948.16","955.64","908,173"
01/08/2025,"980.24","990.29","976.05","986.10","778,503"
01/07/2025,"1,011.00","1,012.00","978.25","980.76","970,495"
01/06/2025,"1,025.65","1,029.41","1,011.49","1,012.74","616,338"
01/03/2025,"1,022.17","1,024.00","1,010.00","1,020.83","469,065"
01/02/2025,"1,030.00","1,032.10","1,012.00","1,017.40","604,760"
12/31/2024,"1,030.81","1,034.13","1,019.54","1,025.11","619,395"
12/30/2024,"1,032.81","1,036.05","1,021.48","1,027.43","591,923"
12/27/2024,"1,048.00","1,055.44","1,040.26","1,044.18","337,134"
12/26/2024,"1,045.00","1,057.49","1,045.00","1,054.28","292,092"
12/24/2024,"1,041.64","1,054.83","1,036.67","1,054.83","276,623"
12/23/2024,"1,025.89","1,041.36","1,023.36","1,039.70","488,192"
12/20/2024,"1,007.64","1,036.77","1,001.98","1,028.69","2,079,813"
12/19/2024,"1,040.52","1,040.88","1,014.95","1,016.33","796,570"
12/18/2024,"1,049.22","1,061.00","1,018.96","1,020.30","865,100"
12/17/2024,"1,056.02","1,059.75","1,038.27","1,049.22","990,433"
12/16/2024,"1,059.38","1,071.98","1,056.50","1,064.65","897,930"
12/13/2024,"1,056.86","1,061.44","1,052.33","1,056.54","537,361"
12/12/2024,"1,068.19","1,074.05","1,051.22","1,058.82","687,331"
12/11/2024,"1,061.14","1,082.45","1,060.28","1,065.26","1,139,665"
12/10/2024,"1,049.86","1,064.85","1,045.91","1,057.07","645,055"
12/09/2024,"1,049.97","1,055.82","1,043.25","1,046.38","742,764"
12/06/2024,"1,044.42","1,053.23","1,038.35","1,042.87","550,452"
12/05/2024,"1,030.00","1,057.61","1,028.53","1,044.78","880,600"
12/04/2024,"1,038.00","1,039.38","1,012.48","1,035.00","1,029,652"
12/03/2024,"1,031.09","1,046.29","1,021.00","1,039.00","941,990"
12/02/2024,"1,026.55","1,033.65","1,012.87","1,020.11","719,871"
11/29/2024,"1,020.82","1,029.32","1,020.82","1,022.80","390,048"
11/27/2024,"1,029.55","1,034.00","1,018.04","1,019.45","481,939"
11/26/2024,"1,032.05","1,038.32","1,018.20","1,026.48","772,882"
11/25/2024,"1,048.84","1,049.00","1,030.57","1,031.49","1,463,706"
11/22/2024,"1,033.00","1,041.94","1,028.50","1,036.46","713,063"
11/21/2024,"1,034.73","1,039.43","1,024.60","1,028.00","473,229"
11/20/2024,"1,032.35","1,036.70","1,018.00","1,024.67","593,741"
11/19/2024,"1,042.00","1,044.31","1,027.59","1,028.11","673,775"
11/18/2024,"1,038.58","1,053.22","1,037.40","1,049.97","563,277"
11/15/2024,"1,038.49","1,052.51","1,035.01","1,047.37","583,514"
11/14/2024,"1,040.71","1,058.89","1,037.20","1,047.08","1,048,811"
11/13/2024,"1,038.37","1,043.65","1,026.18","1,030.98","408,874"
11/12/2024,"1,054.20","1,057.08","1,033.59","1,036.35","489,961"
11/11/2024,"1,048.83","1,068.34","1,047.50","1,053.84","681,474"
11/08/2024,"1,040.98","1,050.44","1,036.67","1,039.28","454,488"
11/07/2024,"1,039.99","1,044.95","1,032.40","1,036.06","528,690"
11/06/2024,"1,046.26","1,057.51","1,000.00","1,029.82","1,266,866"
11/05/2024,"992.00","1,017.69","992.00","1,014.35","425,106"
11/04/2024,"979.14","992.01","976.05","991.50","512,484"
11/01/2024,"984.00","991.97","980.23","985.08","792,041"
10/31/2024,"970.16","986.07","969.54","981.03","607,916"
10/30/2024,"985.52","998.00","978.96","979.87","428,033"
10/29/2024,"985.00","989.77","979.13","983.17","269,629"
10/28/2024,"982.00","989.45","979.01","986.22","329,564"
10/25/2024,"987.35","987.35","968.95","974.07","433,666"
10/24/2024,"991.04","992.03","983.23","984.00","353,688"
10/23/2024,"997.05","1,008.64","982.67","988.16","441,721"
10/22/2024,"997.11","1,003.87","990.79","1,000.81","504,449"
10/21/2024,"1,005.00","1,008.58","997.21","1,000.53","311,219"
10/18/2024,"1,009.48","1,009.48","998.38","1,007.02","505,446"
10/17/2024,"1,023.60","1,032.00","1,001.64","1,002.50","684,835"
10/16/2024,"1,004.15","1,019.22","1,004.15","1,015.75","547,221"
10/15/2024,"998.00","1,016.45","996.12","1,007.00","618,827"
10/14/2024,"999.17","1,001.45","989.19","991.72","768,522"
10/11/2024,"963.21","996.29","963.15","990.26","927,686"
10/10/2024,"955.00","963.33","953.62","955.59","564,397"
10/09/2024,"950.00","962.95","947.98","955.92","573,319"
10/08/2024,"951.55","955.36","942.28","949.07","389,013"
10/07/2024,"952.00","956.82","937.96","940.67","561,592"
10/04/2024,"960.74","960.74","931.03","949.19","491,906"
10/03/2024,"953.57","958.63","949.49","951.49","511,292"
10/02/2024,"939.87","957.28","933.00","957.25","368,283"
10/01/2024,"945.32","945.32","918.96","934.02","543,932"
09/30/2024,"944.29","951.27","935.97","949.51","362,331"
09/27/2024,"945.47","950.35","942.10","945.21","472,522"
09/26/2024,"945.00","952.75","939.41","945.02","459,569"
09/25/2024,"942.72","942.84","934.61","936.80","476,839"
09/24/2024,"934.00","942.16","930.00","941.23","366,529"
09/23/2024,"929.97","939.46","928.79","937.61","396,587"
09/20/2024,"930.67","931.79","924.63","928.79","970,244"
09/19/2024,"938.25","942.73","925.72","934.87","625,501"
09/18/2024,"911.81","930.50","905.75","922.71","656,407"
09/17/2024,"897.35","908.88","895.19","904.52","416,949"
09/16/2024,"888.34","895.90","886.60","895.18","380,880"
09/13/2024,"888.14","892.14","882.68","885.73","406,877"
09/12/2024,"880.83","886.47","874.38","885.12","479,019"
09/11/2024,"878.44","878.49","854.16","877.12","432,016"
09/10/2024,"886.22","886.22","869.32","883.83","269,895"
09/09/2024,"873.44","884.01","870.92","877.94","394,767"
09/06/2024,"878.14","884.76","861.11","866.92","748,945"
09/05/2024,"889.70","889.70","873.14","876.64","426,067"
09/04/2024,"880.33","890.70","879.18","886.49","356,689"
09/03/2024,"899.07","900.00","881.01","886.43","433,536"
08/30/2024,"898.29","903.46","889.96","901.81","478,238"
08/29/2024,"888.66","898.66","884.78","894.87","417,957"
08/28/2024,"886.44","895.44","883.71","888.66","441,255"
